hole_id,from,to,Au_ppm,Ag_ppm,Cu_pct,Pb_pct,Zn_pct,As_ppm,Al_pct,Fe_pct,Mg_pct,Ca_pct,Na_pct,K_pct,Ti_pct
OR-26-02,92.0,94.0,0.006,0.03,0.008,0.001,0.003,1.7,9.8,5.25,2.43,4.11,3.07,1.17,0.6
OR-26-02,94.0,96.0,0.021,0.12,0.005,0.001,0.007,8.2,9.98,6.86,2.43,6.5,2.76,2.2,0.73
OR-26-02,96.0,98.0,0.008,0.03,0.008,0.003,0.01,2.1,9.12,7.14,2.28,4.72,2.66,2.15,0.57
OR-26-02,98.0,100.0,0.005,0.02,0.005,0.002,0.013,10.8,9.72,7.87,2.54,6.83,3.03,1.06,0.96
OR-26-02,100.0,102.0,0.008,0.05,0.012,0.003,0.013,4.6,8.23,5.73,3.32,5.76,3.54,2.08,0.98
OR-26-02,102.0,104.0,0.029,0.08,0.008,0.002,0.008,4.0,9.48,6.87,2.94,6.02,3.54,1.01,0.74
OR-26-02,104.0,106.0,0.021,0.1,0.009,0.001,0.003,5.7,9.47,6.08,3.33,6.3,2.67,1.27,0.61
OR-26-02,106.0,108.0,0.006,0.02,0.003,0.005,0.027,4.8,8.35,6.45,2.04,6.03,2.71,1.44,0.98
OR-26-02,108.0,110.0,0.017,0.08,0.009,0.001,0.003,3.7,8.03,6.6,3.45,4.82,2.59,1.01,0.59
OR-26-02,110.0,112.0,0.008,0.04,0.005,0.002,0.009,2.6,8.17,5.49,2.18,5.87,3.41,1.32,0.9
OR-26-02,112.0,114.0,0.016,0.06,0.007,0.001,0.004,4.4,9.59,7.41,2.19,5.76,2.75,1.85,0.9
OR-26-02,114.0,116.0,0.016,0.04,0.009,0.002,0.008,1.1,8.48,5.78,2.85,5.6,3.44,1.04,0.86
OR-26-02,116.0,118.0,0.007,0.03,0.01,0.003,0.017,4.2,8.31,5.68,3.54,6.48,3.43,2.15,0.9
OR-26-02,118.0,120.0,0.008,0.04,0.007,0.001,0.011,3.4,8.73,7.15,3.06,6.33,2.64,1.08,0.69
OR-26-02,120.0,122.0,0.011,0.05,0.005,0.003,0.01,2.6,9.86,7.8,3.24,4.31,3.09,1.76,0.64
OR-26-02,122.0,124.0,0.01,0.03,0.01,0.001,0.006,1.3,8.27,5.32,2.14,4.49,3.19,2.0,0.58
OR-26-02,124.0,126.0,0.003,0.02,0.006,0.002,0.007,1.7,9.21,5.87,2.93,6.15,3.45,1.16,0.6
OR-26-02,126.0,128.0,0.018,0.05,0.005,0.002,0.017,4.9,8.38,6.26,3.64,6.59,3.25,1.01,0.88
OR-26-02,128.0,130.0,0.033,0.19,0.003,0.003,0.016,2.7,8.76,5.33,2.45,6.73,3.03,1.76,0.94
OR-26-02,130.0,132.0,0.62,8.8,0.152,0.043,0.146,6.7,8.27,6.62,2.67,6.46,2.95,2.01,0.92
OR-26-02,132.0,134.0,0.726,10.44,0.123,0.037,0.102,18.3,8.68,7.35,3.56,6.61,2.78,1.41,0.62
OR-26-02,134.0,136.0,0.147,0.77,0.079,0.03,0.124,9.1,9.91,5.93,3.26,6.68,3.11,2.08,0.87
OR-26-02,136.0,138.0,0.037,0.4,0.016,0.051,0.21,7.1,9.33,5.62,2.72,5.09,3.75,1.84,0.56
OR-26-02,138.0,140.0,3.954,79.86,0.331,0.287,0.673,69.9,6.23,6.21,0.83,1.35,0.79,2.58,0.31
OR-26-02,140.0,142.0,1.444,19.63,0.544,0.243,0.634,147.8,6.73,5.21,1.64,1.33,0.35,3.81,0.26
OR-26-02,142.0,144.0,0.581,13.52,0.458,0.227,0.611,185.4,5.81,4.04,0.91,0.75,0.46,2.67,0.23
OR-26-02,144.0,146.0,0.831,16.78,0.575,0.053,0.251,392.9,4.61,5.34,1.58,1.17,0.6,3.28,0.28
OR-26-02,146.0,148.0,2.697,24.77,1.302,0.074,0.197,146.2,4.6,3.64,1.12,1.0,0.31,1.9,0.27
OR-26-02,148.0,150.0,1.243,16.62,0.371,0.255,0.519,63.9,5.41,3.79,1.39,0.39,0.22,1.68,0.41
OR-26-02,150.0,152.0,11.506,161.31,0.314,0.181,0.891,290.0,4.02,6.4,1.59,0.66,0.54,3.8,0.32
OR-26-02,152.0,154.0,2.548,44.39,0.855,0.058,0.136,132.0,5.02,6.78,1.32,0.72,0.23,1.79,0.47
OR-26-02,154.0,156.0,1.677,27.55,0.062,0.159,0.334,129.7,5.0,4.55,1.41,1.22,0.28,2.43,0.32
OR-26-02,156.0,158.0,0.201,3.45,0.232,0.388,0.991,48.1,4.17,4.06,1.6,1.14,0.74,3.87,0.37
OR-26-02,158.0,160.0,10.897,122.92,0.309,0.248,1.309,51.1,5.83,5.69,1.95,0.67,0.79,2.59,0.32
OR-26-02,160.0,162.0,1.731,42.53,0.214,0.098,0.24,24.8,6.04,3.13,1.16,1.23,0.5,2.63,0.46
OR-26-02,162.0,164.0,3.901,57.46,1.345,0.08,0.281,624.5,5.54,3.02,1.7,0.74,0.57,2.92,0.42
OR-26-02,164.0,166.0,4.011,57.77,2.442,0.349,0.84,38.9,4.48,6.43,1.23,0.56,0.75,1.71,0.48
OR-26-02,166.0,168.0,5.043,105.59,1.088,0.33,0.693,42.4,4.34,6.49,1.16,1.14,0.28,3.33,0.39
OR-26-02,168.0,170.0,0.768,15.57,0.118,0.15,0.318,71.2,6.43,6.03,1.18,1.32,0.38,3.88,0.34
OR-26-02,170.0,172.0,0.449,4.0,0.538,0.183,0.77,87.1,6.55,6.57,0.55,0.8,0.43,3.3,0.42
OR-26-02,172.0,174.0,1.608,35.13,0.194,0.114,0.549,276.3,6.36,4.0,1.87,0.49,0.73,3.03,0.49
OR-26-02,174.0,176.0,10.592,180.7,0.883,0.994,2.42,45.4,6.47,6.85,1.88,0.41,0.58,2.89,0.32
OR-26-02,176.0,178.0,0.203,1.97,0.049,0.018,0.055,18.7,8.77,10.47,7.88,9.93,1.94,0.71,1.77
OR-26-02,178.0,180.0,0.249,2.03,0.026,0.047,0.123,23.3,8.9,11.54,6.63,9.45,2.47,0.55,1.48
OR-26-02,180.0,182.0,0.408,4.11,0.095,0.019,0.193,6.4,8.94,10.25,6.71,6.04,2.22,0.93,1.47
OR-26-02,182.0,184.0,0.21,2.8,0.051,0.075,0.241,24.7,7.3,10.46,6.99,9.81,2.79,1.0,1.5
OR-26-02,184.0,186.0,0.013,0.06,0.007,0.002,0.018,2.2,8.18,12.2,5.48,8.01,2.37,0.69,1.33
OR-26-02,186.0,188.0,0.012,0.03,0.006,0.004,0.015,2.5,7.95,10.55,6.01,9.06,2.02,0.77,1.67
OR-26-02,188.0,190.0,0.01,0.06,0.008,0.002,0.009,3.0,8.02,12.75,5.73,6.62,2.11,0.53,1.73
OR-26-02,190.0,192.0,0.016,0.04,0.016,0.001,0.005,3.4,7.2,11.97,7.15,8.04,1.97,0.77,1.35
OR-26-02,192.0,194.0,0.013,0.07,0.006,0.003,0.021,4.2,7.8,11.75,6.29,6.62,1.87,0.68,1.79
OR-26-02,194.0,196.0,0.011,0.03,0.009,0.005,0.016,6.1,7.28,10.93,5.38,8.74,2.5,0.7,1.78
OR-26-02,196.0,198.0,0.016,0.05,0.003,0.004,0.015,2.1,7.55,12.91,6.31,6.01,1.89,0.81,1.69
OR-26-02,198.0,200.0,0.013,0.07,0.008,0.001,0.008,1.6,8.75,12.99,5.95,9.64,2.59,0.91,1.47
OR-26-02,200.0,202.0,0.032,0.09,0.007,0.002,0.009,3.7,7.55,11.01,6.51,7.68,2.46,0.43,1.43
OR-26-02,202.0,204.0,0.004,0.02,0.011,0.002,0.011,2.3,8.64,10.93,7.19,6.85,2.25,0.55,1.25
OR-26-02,204.0,206.0,0.006,0.03,0.005,0.005,0.023,5.2,7.55,9.24,6.08,6.13,2.76,0.67,1.54
OR-26-02,206.0,208.0,0.007,0.02,0.018,0.002,0.011,3.2,8.79,12.4,7.6,7.76,2.22,0.52,1.78
OR-26-02,208.0,210.0,0.008,0.02,0.003,0.003,0.02,5.2,7.24,12.61,6.32,7.59,2.4,0.48,1.02
OR-26-02,210.0,212.0,0.009,0.02,0.004,0.002,0.007,5.3,7.59,9.8,7.57,9.64,2.03,0.71,1.46
OR-26-02,212.0,214.0,0.009,0.03,0.009,0.002,0.011,2.4,7.73,12.61,5.35,9.95,2.04,0.9,1.19
OR-26-02,214.0,216.0,0.013,0.03,0.003,0.001,0.003,2.8,8.25,12.11,7.53,8.19,2.19,0.86,1.08
OR-26-02,216.0,218.0,0.004,0.02,0.006,0.001,0.006,3.4,8.4,11.06,7.95,6.68,2.31,0.65,1.3
OR-26-02,218.0,220.0,0.018,0.1,0.006,0.002,0.014,2.9,8.31,11.13,5.98,7.31,2.65,0.54,1.33
OR-26-02,220.0,222.0,0.023,0.08,0.003,0.003,0.014,0.9,7.91,12.33,6.12,8.93,1.83,0.45,1.77
OR-26-02,222.0,224.0,0.02,0.08,0.007,0.001,0.005,1.7,7.27,11.45,5.51,8.04,2.11,0.69,1.11
OR-26-02,224.0,226.0,0.011,0.03,0.004,0.003,0.012,3.6,7.89,12.32,6.7,9.01,2.16,0.61,1.78
OR-26-02,226.0,228.0,0.029,0.07,0.007,0.004,0.015,3.4,8.78,10.76,7.49,8.75,2.33,0.9,1.16
OR-26-02,228.0,230.0,0.021,0.04,0.006,0.001,0.004,2.0,7.56,12.68,7.72,9.48,2.79,0.61,1.64
OR-26-02,230.0,232.0,0.037,0.11,0.008,0.004,0.016,2.8,7.91,9.79,7.87,7.12,2.54,0.88,1.2
OR-26-02,232.0,234.0,0.015,0.04,0.005,0.003,0.011,2.8,7.69,11.93,6.97,7.62,2.32,0.41,1.73
OR-26-02,234.0,236.0,0.01,0.05,0.003,0.001,0.006,1.8,10.45,5.13,2.37,1.65,1.66,2.0,0.82
OR-26-02,236.0,238.0,0.002,0.02,0.009,0.001,0.003,9.0,10.31,6.02,2.93,1.57,1.15,2.62,0.7
OR-26-02,238.0,240.0,0.007,0.04,0.006,0.001,0.006,3.1,10.32,5.51,2.76,1.05,2.39,2.3,0.52
OR-26-02,240.0,242.0,0.021,0.09,0.002,0.001,0.006,4.1,10.11,5.44,1.6,2.93,2.04,2.23,0.72
OR-26-02,242.0,244.0,0.015,0.08,0.005,0.002,0.009,2.3,10.38,5.11,2.68,3.17,1.17,2.34,0.5
OR-26-02,244.0,246.0,0.009,0.04,0.01,0.003,0.02,3.4,10.31,6.31,2.75,2.43,1.27,2.61,0.86
OR-26-02,246.0,248.0,0.008,0.03,0.006,0.002,0.007,1.7,11.64,6.93,1.52,2.88,1.95,3.26,0.69
OR-26-02,248.0,250.0,0.006,0.03,0.009,0.004,0.016,1.4,9.97,5.79,2.01,1.38,2.01,2.43,0.82
OR-26-02,250.0,252.0,0.007,0.04,0.006,0.002,0.009,1.5,9.9,6.9,2.07,2.31,1.34,3.45,0.63
OR-26-02,252.0,254.0,0.027,0.1,0.009,0.001,0.008,2.6,9.83,4.46,2.28,2.28,2.41,3.35,0.6
OR-26-02,254.0,256.0,0.012,0.03,0.004,0.002,0.007,1.9,11.15,4.06,2.06,1.38,1.71,2.02,0.56
OR-26-02,256.0,258.0,0.008,0.02,0.004,0.001,0.01,4.4,11.83,5.22,2.4,3.59,1.15,2.1,0.78
OR-26-02,258.0,260.0,0.015,0.05,0.007,0.002,0.01,2.5,10.93,4.26,2.7,2.49,1.34,2.17,0.7
OR-26-02,260.0,262.0,0.011,0.04,0.003,0.005,0.019,3.8,11.99,5.94,2.71,2.67,1.12,3.29,0.57
OR-26-02,262.0,264.0,0.006,0.02,0.006,0.001,0.004,3.1,11.06,4.13,1.79,3.88,1.59,2.64,0.65
OR-26-02,264.0,266.0,0.024,0.11,0.006,0.003,0.011,8.6,11.52,4.72,2.61,3.14,2.41,3.25,0.85
OR-26-02,266.0,268.0,0.004,0.02,0.005,0.004,0.027,1.5,9.64,5.01,1.65,1.46,2.08,2.34,0.84
OR-26-02,268.0,270.0,0.003,0.02,0.005,0.001,0.005,3.9,9.74,4.86,2.96,2.12,2.48,3.33,0.55
OR-26-02,270.0,272.0,0.035,0.17,0.008,0.001,0.006,2.9,11.12,5.72,2.67,2.88,1.9,3.38,0.82
OR-26-02,272.0,274.0,0.012,0.07,0.006,0.002,0.007,5.2,11.81,6.33,2.17,2.39,2.14,2.48,0.54
OR-26-02,274.0,276.0,0.021,0.06,0.029,0.002,0.008,7.5,7.35,12.89,5.52,6.3,2.25,0.31,1.38
OR-26-02,276.0,278.0,0.002,0.02,0.007,0.001,0.008,4.5,7.65,11.43,7.99,6.81,2.14,0.31,1.08
OR-26-02,278.0,280.0,0.005,0.03,0.014,0.002,0.012,1.7,7.13,11.17,6.13,7.97,2.2,0.37,1.59
OR-26-02,280.0,282.0,0.024,0.06,0.013,0.004,0.014,1.8,7.76,10.18,7.28,8.47,2.13,0.68,1.74
OR-26-02,282.0,284.0,0.025,0.11,0.006,0.003,0.014,3.7,8.89,9.06,5.96,9.51,1.86,0.85,1.02
OR-26-02,284.0,286.0,0.024,0.07,0.006,0.004,0.016,2.1,8.91,12.12,7.86,6.99,2.32,0.57,1.28
OR-26-02,286.0,288.0,0.016,0.07,0.006,0.003,0.009,1.7,7.31,9.54,5.91,8.8,2.38,0.39,1.64
OR-26-02,288.0,290.0,0.011,0.06,0.01,0.006,0.021,7.0,8.67,12.68,5.94,8.73,2.48,0.89,1.45
OR-26-02,290.0,292.0,0.008,0.03,0.01,0.002,0.019,11.3,7.61,9.39,5.85,9.09,2.27,0.87,1.13
OR-26-02,292.0,294.0,0.006,0.03,0.009,0.002,0.013,12.6,7.82,10.8,5.09,7.36,2.04,0.85,1.57
OR-26-02,294.0,296.0,0.021,0.1,0.004,0.002,0.009,2.1,7.56,12.46,6.92,7.92,2.18,0.95,1.75
OR-26-02,296.0,298.0,0.01,0.05,0.005,0.002,0.006,1.8,9.97,7.92,4.15,5.52,2.66,1.18,0.67
OR-26-02,298.0,300.0,0.019,0.11,0.008,0.002,0.011,2.3,9.72,9.71,4.43,5.89,1.68,1.72,0.98
OR-26-02,300.0,302.0,0.021,0.13,0.01,0.004,0.016,3.1,7.59,9.2,5.19,3.27,2.77,1.02,0.83
OR-26-02,302.0,304.0,0.009,0.05,0.006,0.001,0.005,2.9,8.25,6.69,5.82,4.77,2.21,1.23,0.75
OR-26-02,304.0,306.0,0.008,0.03,0.004,0.001,0.004,3.6,7.13,6.26,5.0,5.07,1.99,1.72,1.09
OR-26-02,306.0,308.0,0.009,0.04,0.008,0.001,0.005,6.4,7.84,7.78,3.7,3.56,1.74,1.62,0.87
OR-26-02,308.0,310.0,0.016,0.08,0.009,0.001,0.009,3.6,7.3,7.34,3.69,5.53,1.52,1.24,1.12
OR-26-02,310.0,312.0,0.031,0.1,0.003,0.001,0.006,6.2,9.45,9.94,4.14,5.96,1.51,1.68,0.62
OR-26-02,312.0,314.0,0.012,0.06,0.006,0.005,0.019,3.3,9.31,6.87,4.42,3.0,1.84,1.47,1.06
OR-26-02,314.0,316.0,0.014,0.07,0.008,0.003,0.012,2.1,8.03,6.38,4.05,5.19,2.25,0.97,1.04
OR-26-02,316.0,318.0,0.007,0.02,0.003,0.002,0.016,1.6,7.96,6.79,4.29,5.69,1.53,1.64,0.79
OR-26-02,318.0,320.0,0.008,0.02,0.006,0.002,0.008,3.1,8.58,9.1,5.17,4.03,2.69,1.59,0.94
OR-26-02,320.0,322.0,0.011,0.03,0.016,0.003,0.014,5.6,8.49,8.66,3.58,4.88,2.05,1.78,0.71
OR-26-02,322.0,324.0,0.014,0.04,0.005,0.003,0.011,1.1,9.58,6.51,3.65,5.29,2.11,1.73,0.8
OR-26-02,324.0,326.0,0.018,0.08,0.012,0.004,0.015,2.3,7.13,9.73,4.15,5.41,2.11,1.61,0.78
OR-26-02,326.0,328.0,0.012,0.05,0.009,0.005,0.021,2.8,9.44,7.1,3.09,5.77,1.85,0.84,0.68
OR-26-02,328.0,330.0,0.008,0.04,0.009,0.002,0.006,1.4,7.17,9.99,3.31,5.86,2.59,1.53,0.63
OR-26-02,330.0,332.0,0.017,0.07,0.004,0.004,0.015,3.0,7.72,7.84,4.94,4.71,2.66,1.31,0.91
OR-26-02,332.0,334.0,0.005,0.02,0.004,0.002,0.01,8.8,7.9,8.92,3.62,4.66,2.27,1.58,0.7
OR-26-02,334.0,336.0,0.004,0.02,0.005,0.006,0.024,6.0,8.69,9.68,4.94,4.97,2.27,1.29,1.05
OR-26-02,336.0,338.0,0.012,0.04,0.006,0.002,0.012,2.9,9.92,6.36,3.05,5.16,2.01,1.25,0.96
OR-26-02,338.0,340.0,0.009,0.02,0.005,0.003,0.009,5.2,7.76,8.79,5.39,4.41,2.0,1.03,1.08
OR-26-02,340.0,342.0,0.004,0.02,0.009,0.004,0.014,4.6,9.67,9.73,4.85,3.3,2.27,1.22,0.75
OR-26-02,342.0,344.0,0.007,0.02,0.007,0.001,0.008,4.7,9.83,9.81,3.98,4.82,1.64,1.21,0.97
OR-26-02,344.0,346.0,0.014,0.03,0.003,0.002,0.007,7.8,7.76,8.34,3.83,5.35,1.7,1.06,0.86
OR-26-02,346.0,348.0,0.018,0.05,0.005,0.002,0.009,2.7,8.19,9.1,5.71,4.28,2.7,1.05,1.19
OR-26-02,348.0,350,0.012,0.04,0.005,0.005,0.019,3.0,7.62,6.71,4.01,5.04,2.21,0.8,1.03
OR-26-03,0.0,2.0,0.008,0.03,0.022,0.001,0.013,2.1,6.58,5.47,2.17,1.86,0.74,1.98,0.53
OR-26-03,2.0,4.0,0.009,0.05,0.003,0.001,0.004,2.0,7.42,5.94,2.29,2.36,0.78,1.27,0.33
OR-26-03,4.0,6.0,0.013,0.04,0.003,0.002,0.009,4.6,5.54,5.62,1.22,1.35,0.74,1.51,0.44
OR-26-03,6.0,8.0,0.014,0.08,0.007,0.002,0.009,4.6,5.88,5.55,2.38,1.22,1.19,1.79,0.42
OR-26-03,8.0,10.0,0.004,0.02,0.005,0.002,0.01,3.7,6.21,5.4,1.18,1.66,1.43,1.86,0.58
OR-26-03,10.0,12.0,0.02,0.1,0.007,0.002,0.009,2.4,10.61,4.3,2.56,3.39,2.19,3.32,0.63
OR-26-03,12.0,14.0,0.015,0.05,0.006,0.002,0.009,2.0,10.21,6.58,2.64,2.67,1.54,2.41,0.85
OR-26-03,14.0,16.0,0.017,0.04,0.007,0.003,0.012,5.4,11.42,6.08,2.9,1.16,1.02,2.36,0.81
OR-26-03,16.0,18.0,0.005,0.03,0.004,0.001,0.009,4.3,11.2,5.46,2.7,2.09,2.32,3.03,0.68
OR-26-03,18.0,20.0,0.015,0.06,0.006,0.002,0.007,5.6,11.98,5.95,1.57,1.37,1.11,2.85,0.63
OR-26-03,20.0,22.0,0.007,0.02,0.007,0.001,0.007,12.7,9.23,4.37,2.02,1.38,1.63,3.48,0.83
OR-26-03,22.0,24.0,0.009,0.04,0.004,0.002,0.013,7.2,11.14,5.41,2.2,1.86,1.06,2.7,0.75
OR-26-03,24.0,26.0,0.021,0.06,0.003,0.001,0.006,3.7,11.53,5.01,2.86,1.99,1.46,2.26,0.89
OR-26-03,26.0,28.0,0.019,0.04,0.008,0.002,0.006,7.6,9.76,4.08,2.92,1.79,1.84,2.54,0.73
OR-26-03,28.0,30.0,0.019,0.1,0.003,0.003,0.019,3.7,11.13,5.96,1.64,3.76,1.11,3.04,0.64
OR-26-03,30.0,32.0,0.009,0.05,0.015,0.002,0.007,6.8,11.53,5.23,2.34,3.55,1.3,3.29,0.51
OR-26-03,32.0,34.0,0.012,0.03,0.013,0.002,0.007,2.0,11.42,6.58,2.82,1.52,1.01,3.13,0.74
OR-26-03,34.0,36.0,0.01,0.04,0.004,0.001,0.007,7.0,9.95,5.43,1.74,2.21,2.05,2.49,0.82
OR-26-03,36.0,38.0,0.008,0.04,0.004,0.002,0.014,5.3,10.42,5.42,2.53,2.83,1.63,2.28,0.69
OR-26-03,38.0,40.0,0.018,0.11,0.007,0.001,0.006,1.4,12.0,5.17,2.91,2.31,1.98,3.3,0.58
OR-26-03,40.0,42.0,0.006,0.02,0.012,0.001,0.006,3.6,9.61,6.57,2.12,3.88,1.54,2.93,0.72
OR-26-03,42.0,44.0,0.004,0.02,0.005,0.002,0.021,2.0,11.43,4.33,2.67,2.17,1.79,2.63,0.68
OR-26-03,44.0,46.0,0.014,0.03,0.016,0.002,0.013,8.4,8.04,6.02,2.7,4.2,3.77,2.08,0.91
OR-26-03,46.0,48.0,0.005,0.02,0.019,0.005,0.037,3.4,9.71,5.36,2.65,4.01,3.78,1.5,0.89
OR-26-03,48.0,50.0,0.023,0.14,0.009,0.003,0.009,1.5,8.26,7.99,2.99,6.11,3.18,1.92,0.67
OR-26-03,50.0,52.0,0.008,0.04,0.011,0.008,0.035,2.7,8.15,5.29,2.62,4.37,2.56,1.86,0.87
OR-26-03,52.0,54.0,0.013,0.06,0.014,0.001,0.006,2.5,9.73,6.9,3.87,4.52,2.84,1.61,0.53
OR-26-03,54.0,56.0,0.007,0.03,0.015,0.004,0.015,1.4,8.26,5.06,2.99,4.02,2.84,1.46,0.6
OR-26-03,56.0,58.0,0.008,0.03,0.006,0.002,0.017,3.1,9.64,7.67,2.24,5.5,3.23,1.14,0.66
OR-26-03,58.0,60.0,0.016,0.07,0.008,0.003,0.015,0.5,8.52,6.72,3.35,4.7,3.0,1.12,0.9
OR-26-03,60.0,62.0,0.008,0.02,0.009,0.003,0.013,1.7,8.34,5.73,2.29,4.23,2.96,2.06,0.83
OR-26-03,62.0,64.0,0.006,0.03,0.007,0.001,0.005,1.7,9.06,6.02,3.89,5.19,3.05,1.65,0.92
OR-26-03,64.0,66.0,0.013,0.06,0.009,0.002,0.012,4.8,9.42,6.47,2.85,6.12,3.44,2.19,1.0
OR-26-03,66.0,68.0,0.017,0.08,0.006,0.001,0.01,3.1,8.62,5.32,2.97,4.21,2.72,1.53,0.67
OR-26-03,68.0,70.0,0.011,0.04,0.037,0.001,0.008,5.4,9.59,5.02,2.27,4.62,2.98,1.48,0.69
OR-26-03,70.0,72.0,0.026,0.11,0.011,0.003,0.01,3.6,8.13,7.24,2.75,5.93,2.87,2.1,0.68
OR-26-03,72.0,74.0,0.008,0.03,0.002,0.002,0.006,9.6,8.23,7.67,2.71,6.44,3.11,2.07,0.74
OR-26-03,74.0,76.0,0.008,0.03,0.014,0.003,0.016,3.2,8.53,7.77,3.45,5.53,3.29,2.03,0.98
OR-26-03,76.0,78.0,0.012,0.07,0.005,0.001,0.006,3.1,8.28,7.15,3.08,4.93,3.58,2.13,0.96
OR-26-03,78.0,80.0,0.009,0.03,0.004,0.002,0.011,3.6,8.37,5.84,3.97,4.04,3.29,1.11,0.88
OR-26-03,80.0,82.0,0.004,0.02,0.01,0.002,0.006,2.0,8.07,6.55,3.08,4.29,3.25,1.54,0.66
OR-26-03,82.0,84.0,0.033,0.08,0.004,0.004,0.016,5.5,9.99,6.8,2.24,4.65,2.67,1.73,0.81
OR-26-03,84.0,86.0,0.008,0.04,0.015,0.004,0.014,3.4,8.45,6.96,2.16,4.32,2.83,1.96,0.77
OR-26-03,86.0,88.0,0.012,0.05,0.011,0.003,0.01,4.0,9.16,5.96,2.95,6.14,2.53,1.61,0.66
OR-26-03,88.0,90.0,0.02,0.08,0.008,0.001,0.007,1.0,9.0,6.07,2.51,6.51,3.67,2.13,0.62
OR-26-03,90.0,92.0,0.003,0.02,0.017,0.002,0.009,1.9,9.57,7.04,3.17,4.31,2.78,1.31,0.52
OR-26-03,92.0,94.0,0.016,0.09,0.012,0.002,0.011,1.9,8.98,5.01,2.71,4.59,3.31,1.61,0.74
OR-26-03,94.0,96.0,0.019,0.09,0.007,0.002,0.009,8.3,8.33,7.12,3.85,6.6,3.34,1.97,0.54
OR-26-03,96.0,98.0,0.273,2.3,0.015,0.019,0.093,7.5,8.09,6.97,3.29,6.71,3.5,1.09,0.93
OR-26-03,98.0,100.0,1.039,10.31,0.081,0.024,0.081,26.2,8.55,6.26,3.43,4.69,2.71,1.58,0.83
OR-26-03,100.0,102.0,0.147,2.16,0.015,0.015,0.061,21.8,9.33,6.57,2.37,6.09,2.67,1.37,0.93
OR-26-03,102.0,104.0,0.456,5.52,0.049,0.018,0.088,67.7,8.32,7.57,2.57,6.41,3.35,1.73,0.87
OR-26-03,104.0,106.0,0.271,4.67,0.208,0.199,0.435,148.3,5.64,6.52,0.6,0.67,0.58,2.84,0.35
OR-26-03,106.0,108.0,1.763,34.19,0.196,0.037,0.212,94.7,6.29,4.46,0.91,1.41,0.14,3.61,0.46
OR-26-03,108.0,110.0,4.528,68.96,0.504,0.706,1.861,212.7,5.42,6.89,0.79,1.03,0.14,2.9,0.42
OR-26-03,110.0,112.0,6.832,150.4,1.143,0.202,0.754,16.5,6.34,4.16,1.99,0.28,0.14,2.32,0.22
OR-26-03,112.0,114.0,10.012,146.18,1.044,0.244,0.786,214.5,5.58,4.91,0.71,0.39,0.45,3.5,0.33
OR-26-03,114.0,116.0,1.322,20.05,0.684,0.148,0.444,55.2,5.65,4.41,1.58,0.25,0.57,2.41,0.48
OR-26-03,116.0,118.0,1.641,21.98,0.392,0.341,0.857,53.2,5.67,5.87,1.48,0.76,0.16,1.78,0.24
OR-26-03,118.0,120.0,1.546,29.77,0.034,0.068,0.318,19.4,5.74,4.01,1.72,1.08,0.4,3.02,0.4
OR-26-03,120.0,122.0,2.687,38.15,0.977,0.292,0.694,199.8,5.12,5.05,0.88,0.47,0.19,3.22,0.35
OR-26-03,122.0,124.0,15.943,295.48,0.316,0.04,0.164,206.0,4.88,5.31,0.92,1.28,0.25,3.12,0.37
OR-26-03,124.0,126.0,2.17,35.31,0.438,0.08,0.313,154.6,5.9,3.13,0.62,1.12,0.45,1.78,0.34
OR-26-03,126.0,128.0,10.394,181.59,0.295,0.165,0.662,191.1,5.81,5.21,0.8,0.24,0.61,1.91,0.37
OR-26-03,128.0,130.0,0.569,10.48,0.379,0.986,2.189,86.3,5.22,3.3,1.37,0.48,0.59,1.93,0.41
OR-26-03,130.0,132.0,6.047,146.08,0.152,0.054,0.123,222.4,4.78,6.63,1.95,1.43,0.34,3.55,0.4
OR-26-03,132.0,134.0,0.328,4.25,0.075,0.003,0.024,29.7,7.27,12.02,7.03,7.64,2.4,0.69,1.76
OR-26-03,134.0,136.0,0.377,3.63,0.035,0.006,0.015,32.7,7.71,9.39,5.28,8.16,2.68,0.91,1.15
OR-26-03,136.0,138.0,2.705,26.51,0.085,0.017,0.052,15.1,8.73,10.57,6.26,6.89,2.28,0.79,1.29
OR-26-03,138.0,140.0,0.603,3.09,0.109,0.061,0.378,8.5,7.31,12.4,6.55,6.17,2.07,0.66,1.14
OR-26-03,140.0,142.0,0.01,0.04,0.003,0.003,0.013,1.5,8.23,12.64,6.82,6.73,1.99,0.79,1.65
OR-26-03,142.0,144.0,0.005,0.02,0.005,0.004,0.014,1.8,7.75,10.9,6.59,8.67,1.97,0.89,1.13
OR-26-03,144.0,146.0,0.003,0.02,0.009,0.001,0.007,3.2,8.48,10.97,7.9,9.37,1.97,0.94,1.72
OR-26-03,146.0,148.0,0.013,0.03,0.006,0.001,0.006,6.3,8.65,9.35,7.54,8.03,2.43,0.47,1.56
OR-26-03,148.0,150.0,0.008,0.03,0.004,0.003,0.014,2.4,7.95,12.0,5.22,8.04,2.06,0.71,1.21
OR-26-03,150.0,152.0,0.007,0.04,0.003,0.003,0.015,3.9,8.04,10.98,7.01,7.16,2.71,0.74,1.06
OR-26-03,152.0,154.0,0.006,0.03,0.01,0.005,0.025,4.4,8.34,10.6,6.5,8.03,2.02,0.48,1.68
OR-26-03,154.0,156.0,0.036,0.17,0.007,0.001,0.002,3.2,7.51,12.3,5.1,9.2,2.6,0.91,1.21
